FECHA,BACALAR,BENITO JUAREZ,COZUMEL,FELIPE CARRILLO PUERTO,ISLA MUJERES,JOSE MA. MORELOS,LAZARO CARDENAS,OTHON P. BLANCO,PUERTO MORELOS,SOLIDARIDAD,TULUM
20-mar,0,10,0,0,0,0,0,0,0,1,0
21-mar,0,10,0,0,0,0,0,0,0,2,0
23-mar,0,19,0,0,0,0,0,0,0,3,0
24-mar,0,19,0,0,0,0,0,0,0,3,0
25-mar,0,22,0,0,0,0,0,1,0,4,0
26-mar,0,23,0,0,0,0,0,1,0,4,0
27-mar,0,24,0,0,0,0,0,1,0,7,0
28-mar,1,27,0,0,0,0,0,1,0,8,0
29-mar,1,29,1,0,0,0,0,1,0,8,2
30-mar,1,30,1,0,0,0,0,1,0,9,2
31-mar,1,32,1,0,0,0,0,1,0,9,2
01-abr,1,35,1,0,0,0,0,1,0,10,2
02-abr,1,38,2,0,0,0,0,1,0,11,2
02-abr,1,38,2,0,0,0,0,1,0,11,2
03-abr,1,45,4,0,1,0,0,2,0,13,2
04-abr,1,49,4,1,1,0,0,3,0,14,2
05-abr,1,58,5,1,1,0,0,3,0,15,2
06-abr,1,75,5,1,1,0,0,3,1,28,3
07-abr,1,92,5,1,1,0,0,3,1,31,3
08-abr,1,100,5,1,1,0,0,3,1,31,3
09-abr,1,111,5,1,1,0,0,4,1,32,3
10-abr,1,114,5,1,1,0,0,5,1,32,3
11-abr,1,156,6,1,1,0,0,5,1,41,4
12-abr,1,166,7,1,1,1,0,7,1,43,4
13-abr,1,176,8,1,1,1,1,7,1,44,4
14-abr,1,194,8,1,1,1,1,9,1,48,4
15-abr,1,200,9,1,1,2,1,9,1,50,4
16-abr,1,200,10,1,1,2,1,9,1,50,4
17-abr,1,223,13,1,1,2,1,10,1,60,4
18-abr,1,229,13,1,1,2,1,10,1,60,4
19-abr,1,261,15,2,1,2,1,10,1,61,6
20-abr,1,273,15,2,1,2,1,10,1,62,6
21-abr,1,317,15,2,1,2,1,11,1,69,6
22-abr,1,343,15,2,1,2,1,12,1,77,6
23-abr,1,378,18,2,2,3,1,12,1,86,7
24-abr,1,407,18,2,2,3,1,12,1,96,7
25-abr,1,447,19,2,2,3,1,13,1,107,7
26-abr,1,486,19,2,2,3,1,13,1,115,7
27-abr,1,523,22,2,2,3,1,17,1,117,8
28-abr,1,531,22,2,4,3,1,17,1,121,8
29-abr,1,597,23,2,5,3,1,18,2,127,9
30-abr,1,619,23,2,5,3,4,21,2,135,10
01-may,1,619,23,2,5,3,4,21,2,135,10
02-may,1,666,23,2,5,3,4,23,2,148,11
03-may,1,688,23,2,6,3,4,23,2,148,11
04-may,1,696,23,3,6,3,4,24,2,150,11
05-may,1,723,22,4,6,3,4,24,2,155,12
06-may,1,740,22,4,6,3,4,24,2,161,12
07-may,1,752,22,4,6,3,5,26,2,161,12
08-may,1,777,22,4,7,3,5,29,2,170,12
09-may,1,806,22,4,10,3,5,30,2,176,12
10-may,1,813,22,4,10,3,5,30,2,179,12
11-may,1,836,22,4,10,3,5,34,2,189,12
12-may,1,854,22,4,11,3,5,35,2,195,12
14-may,1,905,23,4,12,3,5,35,2,216,12
15-may,1,929,23,4,13,3,5,37,2,228,12
16-may,1,950,23,4,13,3,5,40,2,231,12
17-may,1,973,26,4,13,3,5,41,2,235,12
18-may,1,1001,26,4,13,3,5,42,2,236,12
